spanish,english
de,from
que,what
no,not
a,a
la,the
el,the
y,and
es,is
en,in
lo,it
un,a
por,for
que,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
esta,is
mi,me
pero,but
si,Yeah
si,Yeah
bien,good
eso,that
su,his
las,the
yo,I
del,of
como,What
aqui,here
tu,your
al,to the
mas,further
le,you
esto,this
todo,all
ya,Already
estoy,I am
ahora,now
muy,very
ha,ha
esta,is
asi,So
vamos,we go
algo,something
hay,there are
bueno,well
tengo,I've got
el,the
cuando,when
estes,These
se,I know
tu,your
nos,us
nada,any
como,What
este,East
o,either
he,He
ser,to be
tiene,have
puedo,I can
ella,she
quiero,I love
hacer,to do
fue,was
gracias,thank you
vez,time
era,it was
soy,I am
solo,only
todos,everyone
porque,because
son,are
tienes,have
creo,I believe
voy,go
sabes,do you know
estaba,was
puede,can
eres,are you
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,TRUE
casa,House
tan,so
quien,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
donde,where
va,goes
